"Company
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin",Bean Latitude,Bean Longitude 
Dandelion,Madagascar,654,2011,0.70,U.S.A.,3.25,Trinitario,Madagascar,-19.615,46.645
Danta,Sambirano,987,2012,0.70,Guatemala,3.75,Trinitario,Madagascar,-19.615,46.645
Dark Forest,Madagascar,1550,2015,0.70,U.S.A.,3,Trinitario,Madagascar,-19.615,46.645
De Villiers,"Sambirano Valley, batch 2477",1832,2016,0.70,South Africa,3,,Madagascar,-19.615,46.645
Dean and Deluca (Belcolade),Madagascar,170,2007,0.66,U.S.A.,2.5,Trinitario,Madagascar,-19.615,46.645
Dick Taylor,Sambirano,661,2011,0.80,U.S.A.,2.75,Trinitario,Madagascar,-19.615,46.645
Dick Taylor,Sambirano,661,2011,0.72,U.S.A.,3,Trinitario,Madagascar,-19.615,46.645
Domori,Madagascar,135,2007,0.70,Italy,3.5,Trinitario,Madagascar,-19.615,46.645
Domori,Madagared,192,2007,0.70,Italy,3.5,Criollo,Madagascar,-19.615,46.645
Dormouse,"Madagascar, Batch 8",1676,2015,0.77,U.K.,2.75,"Criollo, Trinitario",Madagascar,-19.615,46.645
Durand,Madagascar,841,2012,0.82,France,2.75,Trinitario,Madagascar,-19.615,46.645
East Van Roasters,Madagascar,1343,2014,0.70,Canada,3.5,Trinitario,Madagascar,-19.615,46.645
Felchlin,"Madagascar, Grand Cru",48,2006,0.64,Switzerland,3,Criollo,Madagascar,-19.615,46.645
Fossa,"Akesson's E., Sambirano V.",1772,2016,0.70,Singapore,2.75,,Madagascar,-19.615,46.645
Frederic Blondeel,Madagascar,1351,2014,0.65,Belgium,3.5,Trinitario,Madagascar,-19.615,46.645
Fresco,"Sambirano Valley, #216, MR, LC",915,2012,0.74,U.S.A.,4,Trinitario,Madagascar,-19.615,46.645
Fresco,"Sambirano Valley, #214, LR, MC",682,2011,0.74,U.S.A.,2.75,Trinitario,Madagascar,-19.615,46.645
Fresco,"Sambirano Valley, #215, MR, MC",688,2011,0.74,U.S.A.,3,Trinitario,Madagascar,-19.615,46.645
Georgia Ramon,Akesson P.,1642,2015,0.65,Germany,3.25,Trinitario,Madagascar,-19.615,46.645
Georgia Ramon,Akesson P.,1646,2015,0.75,Germany,3.5,Trinitario,Madagascar,-19.615,46.645
Green Bean to Bar,Madagascar,1896,2016,0.70,Japan,3.5,,Madagascar,-19.615,46.645
Guittard,"Sambirano, Ambanja",87,2006,0.65,U.S.A.,3.5,"Criollo, +",Madagascar,-19.615,46.645
hexx,Madagascar,1546,2015,0.74,U.S.A.,3,Trinitario,Madagascar,-19.615,46.645
Hogarth,Akesson's Estate,1712,2016,0.70,New Zealand,2.75,Trinitario,Madagascar,-19.615,46.645
Holy Cacao,Sambirano,1466,2015,0.70,Israel,3.5,Trinitario,Madagascar,-19.615,46.645
Hotel Chocolat (Coppeneur),"Somia Plantation, Akesson, 2012",1065,2013,0.72,U.K.,3,Trinitario,Madagascar,-19.615,46.645
Hotel Chocolat (Coppeneur),Sambirano,809,2012,0.66,U.K.,3.5,"Trinitario, Criollo",Madagascar,-19.615,46.645
Isidro,Madagascar,1275,2014,0.72,U.S.A.,3.5,Trinitario,Madagascar,-19.615,46.645
Jordis,Madagascar,1534,2015,0.63,Czech Republic,2.75,Trinitario,Madagascar,-19.615,46.645
Just Good Chocolate,Madagascar,1375,2014,0.70,U.S.A.,3.5,Trinitario,Madagascar,-19.615,46.645
Kto,Sambirano Valley,1422,2014,0.72,U.S.A.,3.25,Trinitario,Madagascar,-19.615,46.645
Kyya,Madagascar,1363,2014,0.73,U.S.A.,3,Trinitario,Madagascar,-19.615,46.645
L.A. Burdick (Felchlin),Madagascar,431,2009,0.64,U.S.A.,3.5,Trinitario,Madagascar,-19.615,46.645
Laia aka Chat-Noir,"Madagascar, Batch 59/100",1590,2015,0.75,France,2.75,Trinitario,Madagascar,-19.615,46.645
Levy,Sambirano,1231,2014,0.71,Finland,3.5,Criollo,Madagascar,-19.615,46.645
Lilla,Madagascar,1856,2016,0.70,Finland,3,Trinitario,Madagascar,-19.615,46.645
Madecasse (Cinagra),Madagascar,284,2008,0.67,Madagascar,3.5,Trinitario,Madagascar,-19.615,46.645
Madecasse (Cinagra),Madagascar,284,2008,0.70,Madagascar,3.75,Trinitario,Madagascar,-19.615,46.645
Madecasse (Cinagra),Madagascar,284,2008,0.63,Madagascar,4,Trinitario,Madagascar,-19.615,46.645
Madecasse (Cinagra),Madagascar,288,2008,0.75,Madagascar,3.5,Trinitario,Madagascar,-19.615,46.645
Malagasy (Chocolaterie Robert),Sambirano 2006,184,2007,0.75,Madagascar,2.75,Trinitario,Madagascar,-19.615,46.645
Malagasy (Chocolaterie Robert),Mora Mora 2006,184,2007,0.73,Madagascar,3.5,Trinitario,Madagascar,-19.615,46.645
Matale,"Somia, 2013",1177,2013,0.68,Australia,4,Trinitario,Madagascar,-19.615,46.645
Menakao (aka Cinagra),Madagascar,837,2012,0.80,Madagascar,2.5,Trinitario,Madagascar,-19.615,46.645
Menakao (aka Cinagra),Madagascar,841,2012,0.72,Madagascar,2.5,Trinitario,Madagascar,-19.615,46.645
Metiisto,Akesson Estate,1267,2014,0.72,Sweden,3.5,Trinitario,Madagascar,-19.615,46.645
Michel Cluizel,Mangaro P.,24,2006,0.65,France,4,Trinitario,Madagascar,-19.615,46.645
Mutari,"Ambanja, batch 1 SRB",1900,2016,0.68,U.S.A.,2.75,,Madagascar,-19.615,46.645
Nathan Miller,Madagascar,1403,2014,0.74,U.S.A.,2.5,Trinitario,Madagascar,-19.615,46.645
Nibble,"Ambanja, Sambirano Valley",1526,2015,0.72,U.S.A.,3,Trinitario,Madagascar,-19.615,46.645
Nuance,"Sambirano Valley, 2012",1458,2015,0.70,U.S.A.,3.5,Trinitario,Madagascar,-19.615,46.645
Omnom,Madagascar,1247,2014,0.66,Iceland,3.5,Trinitario,Madagascar,-19.615,46.645
Palette de Bine,Sambirano,1239,2014,0.78,Canada,3.75,Trinitario,Madagascar,-19.615,46.645
Patric,Madagascar,331,2009,0.75,U.S.A.,4,Trinitario,Madagascar,-19.615,46.645
Patric,Madagascar,439,2009,0.67,U.S.A.,3.5,Trinitario,Madagascar,-19.615,46.645
Patric,Madagascar,196,2007,0.70,U.S.A.,4,Trinitario,Madagascar,-19.615,46.645
Paul Young,"Madagascar, w/ shell",1271,2014,0.73,U.K.,2.25,Trinitario,Madagascar,-19.615,46.645
Paul Young,"Madagascar, w/ shell",1271,2014,0.64,U.K.,2.75,Trinitario,Madagascar,-19.615,46.645
Pierre Marcolini,"Sambirano, Ambanja, Madagascar",141,2007,0.72,Belgium,4,Trinitario,Madagascar,-19.615,46.645
Pitch Dark,Akesson Estate,1311,2014,0.73,U.S.A.,3.25,Trinitario,Madagascar,-19.615,46.645
Pralus,"Sambirano Valley, Le 100%",202,2008,1.00,France,3,Criollo,Madagascar,-19.615,46.645
Pralus,"Madagascar, Nosy Be Isle.",5,2006,0.75,France,3.75,Criollo,Madagascar,-19.615,46.645
Pump Street Bakery,"Akesson's, batch 4411",1530,2015,0.74,U.K.,3.5,Criollo,Madagascar,-19.615,46.645
Pump Street Bakery,"Akessons Estate, Sambirano, Ambanja",1223,2014,0.72,U.K.,3.25,Trinitario,Madagascar,-19.615,46.645
Raaka,Madagascar,959,2012,0.75,U.S.A.,3.25,Trinitario,Madagascar,-19.615,46.645
Ritual,Sambirano,891,2012,0.75,U.S.A.,4,Trinitario,Madagascar,-19.615,46.645
Robert (aka Chocolaterie Robert),Madagascar,1061,2013,0.75,Madagascar,3.25,Trinitario,Madagascar,-19.615,46.645
Robert (aka Chocolaterie Robert),Madagascar w/ nibs,1061,2013,0.68,Madagascar,3.25,Trinitario,Madagascar,-19.615,46.645
Rogue,"Akessons Estate, Sambirano, 2013",1038,2013,0.70,U.S.A.,3.5,Trinitario,Madagascar,-19.615,46.645
Rogue,"Sambirano, 2008",213,2008,0.70,U.S.A.,2.75,Trinitario,Madagascar,-19.615,46.645
Rozsavolgyi,"Sambirano, Akesson Estate",871,2012,0.72,Hungary,2.5,Trinitario,Madagascar,-19.615,46.645
S.A.I.D.,Malgascio,607,2010,0.64,Italy,3.5,Trinitario,Madagascar,-19.615,46.645
Scharffen Berger,Amina,464,2010,0.65,U.S.A.,3.75,"Trinitario, Criollo",Madagascar,-19.615,46.645
Sirene,"Somia Plantation, 2012",1502,2015,1.00,Canada,3,Trinitario,Madagascar,-19.615,46.645
Sirene,"Somia Plantation, 2012",1339,2014,0.67,Canada,3.75,Trinitario,Madagascar,-19.615,46.645
Sirene,"Somia Plantation, 2012",1339,2014,0.73,Canada,3.75,Trinitario,Madagascar,-19.615,46.645
"Smooth Chocolator, The",Akesson's Estate,1618,2015,0.65,Australia,3.25,Trinitario,Madagascar,-19.615,46.645
"Smooth Chocolator, The",Akesson's Estate,1622,2015,0.70,Australia,3.5,Trinitario,Madagascar,-19.615,46.645
Snake & Butterfly,Madagascar,502,2010,0.68,U.S.A.,3,Trinitario,Madagascar,-19.615,46.645
Sol Cacao,Madagascar,1518,2015,0.72,U.S.A.,3,Trinitario,Madagascar,-19.615,46.645
Solstice,Sambirano,1157,2013,0.70,U.S.A.,3,Trinitario,Madagascar,-19.615,46.645
Soma,"Sambirano Valley, Black Science, B-60307.0",1820,2016,0.70,Canada,3.5,Trinitario,Madagascar,-19.615,46.645
Soma,Madagascar,387,2009,0.70,Canada,3.75,Criollo,Madagascar,-19.615,46.645
Soul,Madagascar,1936,2017,0.70,Canada,3.5,,Madagascar,-19.615,46.645
Spencer,"Madagascar, lot M0403R",1792,2016,0.70,Australia,3.75,,Madagascar,-19.615,46.645
Starchild,Sambirano Valley,1696,2015,0.70,U.S.A.,3,Trinitario,Madagascar,-19.615,46.645
Sublime Origins,Sambirano,1157,2013,0.67,U.S.A.,2.75,Trinitario,Madagascar,-19.615,46.645
Szanto Tibor,Ambolikapiky,1704,2015,0.70,Hungary,3.25,Trinitario,Madagascar,-19.615,46.645
Szanto Tibor,"Autumn, Primary Harvest, 2012",1185,2013,0.70,Hungary,3.5,Criollo,Madagascar,-19.615,46.645
Szanto Tibor,"Spring, Secondary Harvest, 2012",1185,2013,0.70,Hungary,3.5,Criollo,Madagascar,-19.615,46.645
Szanto Tibor,Millot Plantation,939,2012,0.70,Hungary,3.25,,Madagascar,-19.615,46.645
TCHO,Citrus-beta,280,2008,0.70,U.S.A.,2.75,,Madagascar,-19.615,46.645
Tejas,Concepcion,801,2012,0.70,U.S.A.,2.75,,Madagascar,-19.615,46.645
Tejas,Capistrano*,829,2012,0.70,U.S.A.,3,,Madagascar,-19.615,46.645
Terroir,Madagascar,1478,2015,0.70,U.S.A.,3.75,Trinitario,Madagascar,-19.615,46.645
Terroir,Madagascar,1323,2014,0.67,U.S.A.,3.75,Trinitario,Madagascar,-19.615,46.645
Theo,Madagascar,162,2007,0.65,U.S.A.,3.5,Trinitario,Madagascar,-19.615,46.645
Tsara (Cinagra),"Ambanja, Tsara Valley",753,2011,0.72,Madagascar,3.5,,Madagascar,-19.615,46.645
twenty-four blackbirds,Madagascar,1235,2014,0.75,U.S.A.,3.5,Trinitario,Madagascar,-19.615,46.645
Upchurch,"Madagascar, Sassy Bar",1752,2016,0.72,U.S.A.,3,Trinitario,Madagascar,-19.615,46.645
Valrhona,Manjari,129,2007,0.64,France,4,"Criollo, Trinitario",Madagascar,-19.615,46.645
Valrhona,"Sambirano, Ampamakia 2005, Millot P.",75,2006,0.64,France,3.5,Trinitario,Madagascar,-19.615,46.645
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,0.72,Madagascar,2.75,Trinitario,Madagascar,-19.615,46.645
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,0.76,Madagascar,2.75,Trinitario,Madagascar,-19.615,46.645
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,0.80,Madagascar,2.75,Trinitario,Madagascar,-19.615,46.645
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,0.70,Madagascar,3,Trinitario,Madagascar,-19.615,46.645
Vao Vao (Chocolaterie Robert),Madagascar w/ nibs,404,2009,0.68,Madagascar,3,Trinitario,Madagascar,-19.615,46.645
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,0.64,Madagascar,3.25,Trinitario,Madagascar,-19.615,46.645
Violet Sky,Sambirano Valley,1458,2015,0.77,U.S.A.,2.75,Trinitario,Madagascar,-19.615,46.645
Willie's Cacao,Sambirano,593,2010,0.71,U.K.,3,Trinitario,Madagascar,-19.615,46.645
Woodblock,Sambirano,951,2012,0.70,U.S.A.,3.25,Trinitario,Madagascar,-19.615,46.645
Xocolla,"Sambirano, batch 170102",1948,2017,0.70,U.S.A.,2.75,,Madagascar,-19.615,46.645
Zak's,"Madagascar, Batch 2",1578,2015,0.70,U.S.A.,3.25,Trinitario,Madagascar,-19.615,46.645
Zart Pralinen,"Millot P., Ambanja",1820,2016,0.70,Austria,3.5,"Criollo, Trinitario",Madagascar,-19.615,46.645
Soma,Eastern Promises,967,2012,0.70,Canada,3.5,Blend,"Mad., Java, PNG",,
Dandelion,Buto,1303,2014,0.70,U.S.A.,2.75,,Liberia,6.51,-9.33
Letterpress,Liberia,1728,2016,0.70,U.S.A.,3.25,,Liberia,6.51,-9.33
Manoa,"Liberia, #174",1003,2012,0.72,U.S.A.,3.25,,Liberia,6.51,-9.33
Amedei,Jamaica,123,2007,0.70,Italy,3,Trinitario,Jamaica,18.163,-77.477
Artisan du Chocolat,Jamaica,531,2010,0.72,U.K.,3.75,Trinitario,Jamaica,18.163,-77.477
Black River (A. Morin),Blue Mountain Region,1331,2014,0.70,U.K.,2.75,Trinitario,Jamaica,18.163,-77.477
Bonnat,Jamaique,761,2011,0.75,France,3.25,Trinitario,Jamaica,18.163,-77.477
Breeze Mill,Jamaica,1149,2013,0.70,U.S.A.,3,Trinitario,Jamaica,18.163,-77.477
Coppeneur,Jamaica,558,2010,0.72,Germany,3.25,Trinitario,Jamaica,18.163,-77.477
Feitoria Cacao,Blue Mountain,1732,2016,0.76,Portugal,3,,Jamaica,18.163,-77.477
Fresco,"Jamaica, #209, DR, SC",642,2011,0.70,U.S.A.,3.25,Trinitario,Jamaica,18.163,-77.477
Fresco,"Jamaica, #210, DR, MC",642,2011,0.70,U.S.A.,3.5,Trinitario,Jamaica,18.163,-77.477
Fresco,"Jamaica, #204, DR, SC",370,2009,0.80,U.S.A.,2.75,Trinitario,Jamaica,18.163,-77.477
Fresco,"Jamaica, #206, DR, LC",370,2009,0.70,U.S.A.,3,Trinitario,Jamaica,18.163,-77.477
Fresco,"Jamaica, #205, DR, MC",370,2009,0.70,U.S.A.,3.25,Trinitario,Jamaica,18.163,-77.477
Guittard,Jamaica,1053,2013,0.65,U.S.A.,3.25,Trinitario,Jamaica,18.163,-77.477
Oakland Chocolate Co.,Jamaica,478,2010,0.70,U.S.A.,2.5,Trinitario,Jamaica,18.163,-77.477
Pralus,Jamaique,32,2006,0.75,France,4,Trinitario,Jamaica,18.163,-77.477
Rogue,"Bachelor's Hall E., St. Thomas Parish",1193,2013,0.75,U.S.A.,3.75,Trinitario,Jamaica,18.163,-77.477
Rogue,Jamaica,213,2008,0.70,U.S.A.,2.75,Trinitario,Jamaica,18.163,-77.477
Scharffen Berger,Jamaica a l'ancienne,56,2006,0.70,U.S.A.,2,Trinitario,Jamaica,18.163,-77.477
Shark Mountain,Jamaica,1450,2015,0.72,U.S.A.,3.25,Trinitario,Jamaica,18.163,-77.477
Soma,"Bachelor's Hall E., St. Thomas Parish",1177,2013,0.70,Canada,4,Trinitario,Jamaica,18.163,-77.477
Bonnat,Ivory Coast,331,2009,0.75,France,3,,Ivory Coast,7.497,-5.336
Holy Cacao,Ivory Coast,431,2009,0.70,Israel,2.5,,Ivory Coast,7.497,-5.336
Laia aka Chat-Noir,"Ivory Coast, Batch 56/100",1594,2015,0.75,France,3,,Ivory Coast,7.497,-5.336
Mars,Ivory Coast,544,2010,0.65,U.S.A.,3,,Ivory Coast,7.497,-5.336
Theo,Ivory Coast,184,2007,0.75,U.S.A.,2.5,,Ivory Coast,7.497,-5.336
Pralus,"Djakarta, Java and Ghana",99,2006,0.75,France,3.5,"Criollo, Forastero","Indonesia, Ghana",,
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,0.75,Switzerland,3.75,Trinitario,Indonesia,-0.739,114.045
Amano,"Bali, Jembrana",304,2008,0.70,U.S.A.,2.75,,Indonesia,-0.739,114.045
Artisan du Chocolat,Bali,600,2010,0.72,U.K.,3.5,,Indonesia,-0.739,114.045
Artisan du Chocolat,Java,355,2009,0.72,U.K.,2.75,Trinitario,Indonesia,-0.739,114.045
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,0.72,Belgium,4,Trinitario,Indonesia,-0.739,114.045
Beschle (Felchlin),"Java, Grand Cru",508,2010,0.64,Switzerland,3.5,,Indonesia,-0.739,114.045
Bittersweet Origins,"Bali, Singaraja",478,2010,0.75,U.S.A.,3.25,,Indonesia,-0.739,114.045
Bittersweet Origins,"Bali, Singaraja",558,2010,0.65,U.S.A.,2.75,,Indonesia,-0.739,114.045
Domori,"Java, Javablond",192,2007,0.70,Italy,3.75,Criollo,Indonesia,-0.739,114.045
Middlebury,"Balinese, Java",887,2012,0.70,U.S.A.,2.5,Criollo,Indonesia,-0.739,114.045
Molucca,Indonesia,1618,2015,0.70,U.S.A.,2.75,,Indonesia,-0.739,114.045
Pierre Marcolini,"Kendem Lembu, Java",93,2006,0.72,Belgium,3,Criollo,Indonesia,-0.739,114.045
Pralus,"Java, Indonesie",32,2006,0.75,France,3.5,Criollo,Indonesia,-0.739,114.045
Soma,Java,1030,2013,0.70,Canada,3.25,Criollo,Indonesia,-0.739,114.045
Willie's Cacao,"Java, Indonesian Black",1109,2013,1.00,U.K.,2.25,,Indonesia,-0.739,114.045
Willie's Cacao,Java,593,2010,0.69,U.K.,3.75,,Indonesia,-0.739,114.045
Indah,India (south),1788,2016,0.61,India,2.5,,India,22.741,78.236
Stella (aka Bernrain),India,729,2011,0.72,Switzerland,3.25,,India,22.741,78.236
Zotter,Kerala State,749,2011,0.65,Austria,3.5,Forastero,India,22.741,78.236
Zotter,Kerala State,781,2011,0.62,Austria,3.25,,India,22.741,78.236
Arete,"La Masica, FHIA",1908,2016,0.70,U.S.A.,3.5,,Honduras,14.881,-87.123
Askinosie,Cortes,661,2011,0.70,U.S.A.,3.75,Trinitario,Honduras,14.881,-87.123
Cacao Market,"Jutiapa, lot 050916D",1860,2016,0.70,U.S.A.,3.5,Trinitario,Honduras,14.881,-87.123
Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,0.72,U.S.A.,3.5,Trinitario,Honduras,14.881,-87.123
Duffy's,"Indio Rojo, Xoco",623,2011,0.72,U.K.,3.75,Criollo,Honduras,14.881,-87.123
ENNA,"Wampusirpi, batch 007",1916,2016,0.75,U.S.A.,3.25,,Honduras,14.881,-87.123
Friis Holm (Bonnat),"Red Mayan, Xoco",899,2012,0.70,Denmark,3.25,"Criollo, Trinitario",Honduras,14.881,-87.123
Indi,Honduras,1255,2014,0.77,U.S.A.,3,,Honduras,14.881,-87.123
Letterpress,"La Masica, Batch 7, FHIA",1952,2017,0.70,U.S.A.,3.5,,Honduras,14.881,-87.123
Map Chocolate,Le Chocolat Chaud,1634,2015,0.78,U.S.A.,3.5,,Honduras,14.881,-87.123
Mesocacao,Honduras,1347,2014,0.80,Honduras,3.25,,Honduras,14.881,-87.123
Mesocacao,Honduras,1347,2014,0.70,Honduras,3.5,,Honduras,14.881,-87.123
Pinellas,Wampusirpi Region,1772,2016,0.80,U.S.A.,2.5,,Honduras,14.881,-87.123
Pump Street Bakery,Honduras,1688,2015,0.80,U.K.,2.75,,Honduras,14.881,-87.123
Rogue,"La Masica, Batch 1, FHIA Research Center",1748,2016,0.75,U.S.A.,3.75,,Honduras,14.881,-87.123
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,0.70,U.S.A.,3.75,,Hawaii,21.289,-157.917
Garden Island,"Kaua'I, Alea Estate +world",1367,2014,0.85,U.S.A.,2.5,Blend,Hawaii,21.289,-157.917
Guittard,"O'ahu, N. Shore, Waialua E., Kakoleka",316,2009,0.55,U.S.A.,3,,Hawaii,21.289,-157.917
Habitual,Sharkey,1201,2014,0.66,Canada,3.25,,Hawaii,21.289,-157.917
Heirloom Cacao Preservation (Guittard),"Maunawili, O'ahu, Agri Research C., 2014",1243,2014,0.67,U.S.A.,3.75,,Hawaii,21.289,-157.917
Heirloom Cacao Preservation (Manoa),"Maunawili, O'ahu, Agri Research C., 2015",1744,2016,0.72,U.S.A.,3.5,,Hawaii,21.289,-157.917
Lonohana,"Haleiwa, O'ahu; Lonohana E., Kanahiku",1383,2014,0.70,U.S.A.,3.75,,Hawaii,21.289,-157.917
Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,0.65,U.S.A.,3.25,,Hawaii,21.289,-157.917
Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,0.75,U.S.A.,3.75,,Hawaii,21.289,-157.917
Lonohana,"Opaeula Estate, O'ahu, Nene, CG Exclusive",1093,2013,0.71,U.S.A.,3,,Hawaii,21.289,-157.917
Lonohana,"Opaeula Estate, O'ahu, Ele'ele",1097,2013,0.72,U.S.A.,3,,Hawaii,21.289,-157.917
Lonohana,"Hawaiian Crown, Kona Vanilla",1097,2013,0.70,U.S.A.,3.5,,Hawaii,21.289,-157.917
Madre,"Choobua, Kona",1089,2013,0.70,U.S.A.,2.75,,Hawaii,21.289,-157.917
Madre,"Hamakua Coast, Kokoleka",991,2012,0.70,U.S.A.,3.25,,Hawaii,21.289,-157.917
Madre,"Criollo, Hawaii",995,2012,0.70,U.S.A.,3.25,Criollo,Hawaii,21.289,-157.917
Madre,Kaua'i,995,2012,0.70,U.S.A.,3.5,,Hawaii,21.289,-157.917
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",502,2010,0.55,U.S.A.,3.5,,Hawaii,21.289,-157.917
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,0.55,U.S.A.,2.75,Blend,Hawaii,21.289,-157.917
Manoa,"Waiahole, O'ahu",1089,2013,0.72,U.S.A.,3.75,,Hawaii,21.289,-157.917
Manoa,"Hamakua, Hawaiian Crown, #176",1007,2012,0.72,U.S.A.,2.75,,Hawaii,21.289,-157.917
Manoa,"Oahu, Winward, #151, Maunawili district",1007,2012,0.72,U.S.A.,3.25,,Hawaii,21.289,-157.917
Nanea,Criollo Blend,1007,2013,0.85,U.S.A.,3.5,,Hawaii,21.289,-157.917
Original Hawaiin Chocolate Factory,"Hawai'i, Kona Grand Cru E.",316,2009,0.60,U.S.A.,3,Criollo,Hawaii,21.289,-157.917
Original Hawaiin Chocolate Factory,"Hawai'i, Kona Estate Grown",24,2006,0.60,U.S.A.,3,,Hawaii,21.289,-157.917
Shark's,Hilo,713,2011,0.73,U.S.A.,2,,Hawaii,21.289,-157.917
Shark's,"Hilo, w/ added cocoa butter",721,2011,0.73,U.S.A.,2.5,,Hawaii,21.289,-157.917
Soma,O'ahu,833,2012,0.70,Canada,3.75,,Hawaii,21.289,-157.917
Somerville,"Hawaiian, Big Island",1395,2014,0.70,U.S.A.,3.5,,Hawaii,21.289,-157.917
Artisan du Chocolat,Haiti,729,2011,0.72,U.K.,4,,Haiti,19.3175,-72.4205
Bonnat,Haiti,629,2011,0.75,France,4,,Haiti,19.3175,-72.4205
Cacao Barry,Grand 'Anse,1716,2016,0.65,France,3.5,"Trinitario, Criollo",Haiti,19.3175,-72.4205
Guittard,Haiti,1053,2013,0.65,U.S.A.,2.75,,Haiti,19.3175,-72.4205
K'ul,"Kafupbo, Petit Bourg, De Borgnes",1840,2016,0.70,U.S.A.,3.25,,Haiti,19.3175,-72.4205
Martin Mayer,Pisa,1836,2016,0.82,Austria,3,,Haiti,19.3175,-72.4205
Minimal,"Acul-du-Nord, 2015",1920,2016,0.70,Japan,3.5,"Criollo, Trinitario",Haiti,19.3175,-72.4205
Sirene,Pisa,1650,2015,0.73,Canada,3.25,,Haiti,19.3175,-72.4205
Soma,Noula Coop,817,2012,0.70,Canada,3.25,,Haiti,19.3175,-72.4205
Arete,Lachua,1904,2016,0.70,U.S.A.,3.5,,Guatemala,15.124,-90.711
Arete,Guatemala,1602,2015,0.70,U.S.A.,3.25,,Guatemala,15.124,-90.711
Blue Bandana,Lachua,1752,2016,0.75,U.S.A.,2.75,,Guatemala,15.124,-90.711
Blue Bandana,Guatemala,911,2012,0.70,U.S.A.,3.5,,Guatemala,15.124,-90.711
Brazen,"Alta Verapaz, 2014",1514,2015,0.70,U.S.A.,3.5,,Guatemala,15.124,-90.711
Caribeans,"Antigua, Special Reserve",1582,2015,0.72,Costa Rica,3.5,,Guatemala,15.124,-90.711
Danta,Los Ujuxtes,1223,2014,0.82,Guatemala,3.25,,Guatemala,15.124,-90.711
Danta,Los Ujuxtes,987,2012,0.70,Guatemala,3.75,,Guatemala,15.124,-90.711
Danta,Las Acacias E.,987,2012,0.70,Guatemala,4,Criollo,Guatemala,15.124,-90.711
Danta,"Oscuro, Finca Chimelb",991,2012,0.70,Guatemala,3.25,,Guatemala,15.124,-90.711
Danta,Los Ujuxtes,661,2011,0.60,Guatemala,3.5,,Guatemala,15.124,-90.711
Danta,Las Acacias E.,423,2009,0.75,Guatemala,3,Criollo,Guatemala,15.124,-90.711
Danta,Las Acacias E.,423,2009,0.60,Guatemala,3.25,Criollo,Guatemala,15.124,-90.711
Dick Taylor,Lanquin Estate,1952,2017,0.70,U.S.A.,3.75,,Guatemala,15.124,-90.711
Duffy's,"Rio Dulce, Xoco",1662,2015,0.70,U.K.,4,Criollo,Guatemala,15.124,-90.711
French Broad,Guatemala,1634,2015,0.73,U.S.A.,3.5,,Guatemala,15.124,-90.711
Goodnow Farms,"Asochivite, batch 1005",1924,2016,0.77,U.S.A.,3.25,,Guatemala,15.124,-90.711
Mast Brothers,Guatemala,1450,2015,0.76,U.S.A.,3,,Guatemala,15.124,-90.711
Palette de Bine,Lachua,1720,2016,0.70,Canada,2.75,,Guatemala,15.124,-90.711
Parliament,"Lachua, Q'egchi families",1542,2015,0.70,U.S.A.,3.5,,Guatemala,15.124,-90.711
Rain Republic,Suchitepequez E.,470,2010,0.70,Guatemala,2.75,,Guatemala,15.124,-90.711
Sirene,Lachua w/ cane sugar,1614,2015,0.73,Canada,3,,Guatemala,15.124,-90.711
Sirene,"Lachua w/ maple sugar, batch 5",1614,2015,0.73,Canada,3.25,,Guatemala,15.124,-90.711
"Smooth Chocolator, The","Chimelb, Lanquin, Alta Verapaz, b-GUA001",1908,2016,0.70,Australia,3.25,,Guatemala,15.124,-90.711
Soma,Cahabon Region,951,2012,0.70,Canada,3.5,Trinitario,Guatemala,15.124,-90.711
Starchild,Cacao Verapaz,1692,2015,0.70,U.S.A.,3,,Guatemala,15.124,-90.711
Terroir,Guatemala,1558,2015,0.70,U.S.A.,3.75,Trinitario,Guatemala,15.124,-90.711
Violet Sky,Cahabon,1502,2015,0.77,U.S.A.,2.75,Trinitario,Guatemala,15.124,-90.711
Soma,Crazy 88,1077,2013,0.88,Canada,4,,"Guat., D.R., Peru, Mad., PNG",,
Amedei,Grenada,123,2007,0.70,Italy,3.5,Trinitario,Grenada,12.107,-61.681
Cacao Sampaka,Grenada,537,2010,0.71,Spain,3.25,Trinitario,Grenada,12.107,-61.681
Callebaut,Grenade,296,2008,0.60,Belgium,2.75,Trinitario,Grenada,12.107,-61.681
